id,item_id,product_name,department_name,price_$,stock_quantity
2,24564,"Charger for iPhone XS","Cell Phones and Accessories",11.99,35
3,38745,"Whey Protein Powder","Nutrition Products",22.74,72
4,11463,"Princess Dress for Girls",Fashion,38.25,125
5,12423,"Educational Activity Cube for Toddlers",Toys,24.99,2
10,54421,"Chemex Pour Over Coffee Maker","Home and Kitchen",52.74,25
11,36987,"Vitamin D-3 5000IU 240 softgels",Wellness,9.74,532
12,32574,"Maybelline Volume Mascara",Beauty,5.00,324
13,96111,"RAW Probiotics 3.4 oz",Wellness,20.99,51
14,30001,"Book Light Rechargeable",Accessories,13.99,47
15,58796,"Gauge Stainless Steel",Tools,8.50,101
16,91021,"Natural Gentle Face Exfoliator",Beauty,24.95,26
17,17841,"Indoor Wireless Smart Camera",Technology,528.47,15
18,45237,"Natural Himalayan Salt Lamp","Home Improvement",44.99,5637
19,39871,"Lets Play House",Toys,11.25,72
20,11236,"Hoverboard self balancing Scooter","Technology and Toys",129.99,59
